"id","student_id","course_id","quiz1","quiz2","midterm","assignments","project","final","total","grade","status","created_at","updated_at"
"68576","2","1","7","8","30","18","30","55","148","A-","pass","2025-05-09 11:49:36","2025-05-09 11:49:36"
"68577","2","2","10","9","25","11","30","56","141","B+","pass","2025-05-09 11:49:36","2025-05-09 11:49:36"
"68578","2","3","9","10","29","12","30","57","147","A-","pass","2025-05-09 11:49:36","2025-05-09 11:49:36"
"68579","2","4","8","9","26","5","30","58","136","B+","pass","2025-05-09 11:49:36","2025-05-09 11:49:36"
"68580","2","5","7","8","25","12","30","42","124","B-","pass","2025-05-09 11:49:36","2025-05-09 11:49:36"
"68581","2","6","8","5","21","2","20","50","106","D+","pass","2025-05-09 11:49:36","2025-05-09 11:49:36"
"68582","2","7","10","10","25","14","30","55","144","A-","pass","2025-05-09 11:49:36","2025-05-09 11:49:36"
"68583","2","8","10","9","27","10","20","54","130","B","pass","2025-05-09 11:49:36","2025-05-09 11:49:36"
"68584","2","9","9","9","28","3","30","45","124","B","pass","2025-05-09 11:49:36","2025-05-09 11:49:36"
"68585","2","10","7","8","25","6","24","53","123","B","pass","2025-05-09 11:49:36","2025-05-09 11:49:36"
"68586","2","11","10","10","29","23","30","58","160","A","pass","2025-05-09 11:49:36","2025-05-09 11:49:36"
"68587","2","12","7","5","30","8","25","48","123","B-","pass","2025-05-09 11:49:36","2025-05-09 11:49:36"
"68588","2","13","10","8","22","12","30","51","133","B","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68589","2","14","6","10","23","13","21","54","127","B-","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68590","2","15","7","8","30","15","30","51","141","B+","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68591","2","16","10","9","29","11","20","56","135","B","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68592","2","17","9","4","27","8","19","41","108","C-","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68593","2","18","6","10","30","23","30","60","159","A","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68594","2","19","10","7","25","6","25","52","125","B-","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68595","2","20","8","9","20","11","30","55","133","B","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68596","2","21","10","7","25","8","20","55","125","B-","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68597","2","22","7","7","23","8","22","42","109","C-","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68598","2","23","10","7","30","15","30","55","147","A-","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68599","2","24","7","9","25","21","30","51","145","A-","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68600","2","25","3","6","9","20","19","33","90","D-","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68601","2","26","7","10","24","9","19","55","124","B-","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68602","2","27","5","7","23","6","20","45","106","D+","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68603","2","28","8","6","25","8","30","49","126","B-","pass","2025-05-09 11:49:37","2025-05-09 11:49:37"
"68604","2","29","9","10","23","17","25","54","138","B+","pass","2025-05-09 11:49:38","2025-05-09 11:49:38"
"68605","2","30","6","8","17","2","25","36","94","D","pass","2025-05-09 11:49:38","2025-05-09 11:49:38"
"68606","2","31","8","8","25","10","30","57","138","B+","pass","2025-05-09 11:49:38","2025-05-09 11:49:38"
"68607","2","32","4","5","21","15","29","41","115","C","pass","2025-05-09 11:49:38","2025-05-09 11:49:38"
"68608","2","33","7","6","21","12","25","47","118","C","pass","2025-05-09 11:49:38","2025-05-09 11:49:38"
"68609","2","34","9","8","23","15","25","46","126","B-","pass","2025-05-09 11:49:38","2025-05-09 11:49:38"
"68610","2","35","7","5","19","9","18","25","83","F","fail","2025-05-09 11:49:38","2025-05-09 11:49:38"
"68611","2","36","8","10","21","18","30","51","138","B+","pass","2025-05-09 11:49:38","2025-05-09 11:49:38"
"68612","2","37","8",NULL,"20","16",NULL,NULL,"44",NULL,NULL,"2025-05-09 11:49:38","2025-05-09 12:37:26"
"68613","2","38","9",NULL,"15","4",NULL,NULL,"28",NULL,NULL,"2025-05-09 11:49:38","2025-05-09 12:37:27"
"68614","2","39","8",NULL,"15","2",NULL,NULL,"25",NULL,NULL,"2025-05-09 11:49:38","2025-05-09 12:37:28"
"68615","2","40","7",NULL,"25","13",NULL,NULL,"45",NULL,NULL,"2025-05-09 11:49:38","2025-05-09 12:37:29"
"68616","2","41","4","5","14","26","26","36","111","C","pass","2025-05-09 11:49:38","2025-05-09 11:49:38"
"68617","2","42","4","5","22","0","13","43","87","D-","pass","2025-05-09 11:49:38","2025-05-09 11:49:38"
"68618","2","43","10",NULL,"23","9",NULL,NULL,"42",NULL,NULL,"2025-05-09 11:49:38","2025-05-09 12:37:30"
"68619","2","44","5","6","20","14","4","29","78","F","fail","2025-05-09 11:49:38","2025-05-09 11:49:38"
"68620","3","1","3","3","26","12","27","35","106","D+","pass","2025-05-09 11:49:38","2025-05-09 11:49:38"
"68621","3","2","7","8","24","9","18","38","104","D+","pass","2025-05-09 11:49:38","2025-05-09 11:49:38"
"68622","3","3","2","6","20","10","18","40","96","D","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68623","3","4","6","5","19","8","9","39","86","D-","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68624","3","5","4","6","17","8","17","54","106","D+","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68625","3","6","5","3","18","11","14","47","98","D","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68626","3","7","7","6","21","11","19","23","87","D-","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68627","3","8","6","4","20","14","28","41","113","C","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68628","3","9","5","4","18","14","24","21","86","D-","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
